SERVER,DB,SCHEMA,TABLE
EPICORSQL,WSS_APTOS,dbo,av_merchandise_detail
EPICORSQL,WSS_APTOS,dbo,av_transaction_header
EPICORSQL,WSS_APTOS,dbo,av_transaction_line
EPICORSQL,WSS_APTOS,dbo,ib_inventory
EPICORSQL,WSS_APTOS,dbo,location
EPICORSQL,WSS_APTOS,dbo,merchandise_detail
Azusw1dwsql02,WSS_APTOS,dbo,Stores
Azusw1dwsql02,WSS_APTOS,dbo,TenderType
EPICORSQL,WSS_APTOS,dbo,transaction_header
EPICORSQL,WSS_APTOS,dbo,transaction_line
EPICORSQL,WSS_APTOS,dbo,av_return_detail
EPICORSQL,WSS_APTOS,dbo,return_detail
AZUSW1DWSQL02,WSS_APTOS,dbo,Stores
azusw1apsql03,WSS_APTOS,dbo,Aptos_GiftCardRedemption
AZUSW1DWSQL02,WSS_APTOS,dbo,GiftCardDetail
AZUSW1DWSQL02,WSS_APTOS,dbo,Labor
EPICORSQL,WSS_APTOS,dbo,av_line_note
EPICORSQL,WSS_APTOS,dbo,av_stock_control_detail
EPICORSQL,WSS_APTOS,dbo,EMPLY
EPICORSQL,WSS_APTOS,dbo,line_note
EPICORSQL,WSS_APTOS,dbo,stock_control_detail
EPICORSQL,WSS_APTOS,dbo,line_action
AZUSW1DWSQL02,Missing,dbo,Sales
AZUSW1DWSQL02,Missing,dbo,Dates
AZUSW1DWSQL02,Missing,dbo,Stores
AZUSW1DWSQL02,Missing,dbo,DiscountDetail2018
AZUSW1DWSQL02,Missing,dbo,TranasctionDetail
dbo,Missing,Missing,Missing
AZUSW1DWSQL02,Missing,dbo,TransactionDetail
AZUSW1DWSQL02,Missing,dbo,Labor
AZUSW1DWSQL02,Missing,dbo,TenderType
EPICORSQL,Missing,dbo,transaction_header
EPICORSQL,Missing,dbo,av_transaction_header
AZUSW1DWSQL02,Not available,dbo,Dates
AZUSW1DWSQL02,Not available,dbo,Sales
AZUSW1DWSQL02,Not available,dbo,DiscountDetail2018
