REPORT NAME,SP
AP_001_CashRefundReport,mer.uspCashRefundReport
 AP_001_CashRefundReport,mer.uspCashRefundReport
AP_002_ReturnWithoutReceipt,mer.uspReturnWithoutReceipt
AP_006_GiftCardRedemption ,mer.GiftCardRedemptionReport
AP_007_PaidInPaidOut,mer.uspPaidInPaidOutReport
AP_008_NoSalesReport ,mer.uspNoSalesReport
AP_004_EmployeeDiscountReport,Missing
AP_003_PriceReductions,Not available
AP_005_GiftCardAct,Missing
Ecom-009-PricebyUPC ,mer.PriceByUPC
Ecom_004_AptosHJEOMLookUp ,mer.uspAptosHJ_EOMLookUp
Ecom_001_EOMReserveTransReport ,Missing
Ecom_012_JordanRaffleWinnerReport ,Missing
Ecom_013_JordanRaffleWinnerReportRound2 ,Missing
Ecom_014_AptosEcomWeeklySalesSummaryReport,[mer].[uspAptosEcomWeeklySalesSummaryReportUpdate]
Ecom_015_HJInventoryReport,Missing
Ecom_016_EcomReserveTransReportwithDate,Missing
Ecom_017_EOMReserveTransWithOrderCreate,Missing
FN_001_DailyLaborReport ,Missing
FN_005_DailyLaborReport(Adhoc) ,usp_rpt_DailyLaborAdhoc
FN_006_TransferReport ,Missing
 HJ_003_Productivity_Daily ,Missing
 HJ_036_AptosInventoryAgingReport,mer.uspAptosInventoryAgingReport
HJ_001_Shipped Units by Store,RPT_WSS_ShippedReport
HJ_005_CacellationAnalysisReport ,usp_RPTCancellationAnalysis
HJ_008_Physicalinventoryvariance,RPT_WSS_Physicalinventory
HJ_009_HighJumpPickShipCancel,RPT_WSS_PickShipCancel
HJ_010_OrderCancellationsbyStore,Missing
HJ_023_DCReplenishmentSequence,mer.DCReplenishmentSequence
HJ_023_DCReplenishmentSequence,N/A (Calander)
HJ_026_ReceiptsInDollars ,SSRS_ReceiptandDollars_Report
HJ_027_POReport,mer.POReport
HJ_036_AptosInventoryAgingReport,mer.uspAptosInventoryAgingReport
HJ_037_EcomInventoryAgingReport ,mer.uspAptosInventoryAgingReport_Ecom
HJ_039_HJAptosDistroCancelException ,mer.uspHJAptosOrderFrozen
HJ_043_StockPickerProductivity ,RPT_WSS_StockPickerProductivity
HJ_044_StockPickerProductivity(Adhoc) ,RPT_WSS_StockPickerProductivityAdhoc
HJ_046_DCTransferReceiptReport,mer.DCTransferReceipt
HJ_047_Bulk2PicksBySubtype ,mer.Bulk2PicksBySubtype
HJ_006_OrderAgingProfileReport,Missing
HJ_011_PickYieldbyStore,Missing
HJ_012_ItemInDemand,Missing
HJ_013_ShipmentReport,Missing
HJ_014_eComOrderAgingProfileReport,Missing
HJ_015_eComHighJumpPickShipCancel,Missing
HJ_016_FiveUnitOrLessReport ,Missing
HJ_020_eCom_10DayCancellationReport,Missing
HJ_021_Needs Replenishment Generated,Missing
HJ_022_No Forward Pick Location,Missing
HJ_024_Needs Replenishment Executed,Missing
HJ_025_ShipmentComparison,Missing
HJ_028_0999EcomOrderAgingProfileReport ,Missing
HJ_030_ShipmentTrackingReport,Missing
