DATA MART,REPORT NAME
Asset Protection,AP_001_CashRefundReport
Asset Protection, AP_001_CashRefundReport
Asset Protection,AP_002_ReturnWithoutReceipt
Asset Protection,AP_006_GiftCardRedemption 
Asset Protection,AP_007_PaidInPaidOut
Asset Protection,AP_008_NoSalesReport 
Asset Protection,AP_004_EmployeeDiscountReport
Asset Protection,AP_003_PriceReductions
Asset Protection,AP_005_GiftCardAct
Ecommerce,Ecom-009-PricebyUPC 
Ecommerce,Ecom_004_AptosHJEOMLookUp 
Ecommerce,Ecom_001_EOMReserveTransReport 
Ecommerce,Ecom_012_JordanRaffleWinnerReport 
Ecommerce,Ecom_013_JordanRaffleWinnerReportRound2 
Ecommerce,Ecom_014_AptosEcomWeeklySalesSummaryReport
Ecommerce,Ecom_015_HJInventoryReport
Ecommerce,Ecom_016_EcomReserveTransReportwithDate
Ecommerce,Ecom_017_EOMReserveTransWithOrderCreate
Finance,FN_001_DailyLaborReport 
Finance,FN_005_DailyLaborReport(Adhoc) 
Finance,FN_006_TransferReport 
HighJump, HJ_003_Productivity_Daily 
HighJump, HJ_036_AptosInventoryAgingReport
HighJump,HJ_001_Shipped Units by Store
HighJump,HJ_005_CacellationAnalysisReport 
HighJump,HJ_008_Physicalinventoryvariance
HighJump,HJ_009_HighJumpPickShipCancel
HighJump,HJ_010_OrderCancellationsbyStore
HighJump,HJ_023_DCReplenishmentSequence
HighJump,HJ_026_ReceiptsInDollars 
HighJump,HJ_027_POReport
HighJump,HJ_036_AptosInventoryAgingReport
HighJump,HJ_037_EcomInventoryAgingReport 
HighJump,HJ_039_HJAptosDistroCancelException 
HighJump,HJ_043_StockPickerProductivity 
HighJump,HJ_044_StockPickerProductivity(Adhoc) 
HighJump,HJ_046_DCTransferReceiptReport
HighJump,HJ_047_Bulk2PicksBySubtype 
HighJump,HJ_006_OrderAgingProfileReport
HighJump,HJ_011_PickYieldbyStore
HighJump,HJ_012_ItemInDemand
HighJump,HJ_013_ShipmentReport
HighJump,HJ_014_eComOrderAgingProfileReport
HighJump,HJ_015_eComHighJumpPickShipCancel
HighJump,HJ_016_FiveUnitOrLessReport 
HighJump,HJ_020_eCom_10DayCancellationReport
HighJump,HJ_021_Needs Replenishment Generated
HighJump,HJ_022_No Forward Pick Location
HighJump,HJ_024_Needs Replenishment Executed
HighJump,HJ_025_ShipmentComparison
HighJump,HJ_028_0999EcomOrderAgingProfileReport 
HighJump,HJ_030_ShipmentTrackingReport
HighJump,HJ_032_UnavailableItemLocationReport
HighJump,HJ_033_ReceiptInDollarRMA 
HighJump, HJ_040_ItemDimData 
HighJump,HJ_041_OneTouchFailedOrder 
HighJump,HJ_042_DBRPutAwayReport 
HighJump, HJ_045_HourlyOpenReplenishments
HighJump,HJ_007_InActiveLocationDetail30_Update
HighJump,HJ_038_EcomUPSTrackingReport
Inventory Control,IC_001_InventoryAdjustment
Inventory Control,IC_002_0777StoreShipSummary 
Inventory Control,IC_003_0777StoreShipSummary_Adhoc 
Inventory Control,IC_004_StoreShipSummary 
Inventory Control,IC_005_StoreShipSummary_Adhoc 
Inventory Control, IC_006_ShrinkReport 
Inventory Control,IC_009_tran_log_Hist 
Inventory Control,IC_010_ExceptionReport
Inventory Control,IC_013_TransferReport
Inventory Control,IC_014_eCom_ARCH_tran_log_HIST 
Inventory Control,IC_015_ICStoreShipmentReport 
Inventory Control,IC_018_AptosIVRReport 
Inventory Control,IC_019_AptosEcomIVRReport 
Inventory Control,IC_020_AptosPOREC_Comparison
Inventory Control,IC_021_ARCH_tran_log_HIST 
Inventory Control,IC_022_AuditTrail 
Inventory Control,IC_023_DuplicateCartoonLookUp 
Inventory Control,IC_025_IBCostFactor 
Inventory Control,IC_026_StoreOnHand 
Inventory Control,IC_027_IMRDReport 
Inventory Control,IC_028_OpenIMRDReport 
